,artist,track,date_entered,wk,rank
2539,3 Doors Down,Loser,2000-10-21,9,62.0
2856,3 Doors Down,Loser,2000-10-21,10,61.0
3173,3 Doors Down,Loser,2000-10-21,11,61.0
3490,3 Doors Down,Loser,2000-10-21,12,59.0
3807,3 Doors Down,Loser,2000-10-21,13,61.0
4124,3 Doors Down,Loser,2000-10-21,14,66.0
4441,3 Doors Down,Loser,2000-10-21,15,72.0
4758,3 Doors Down,Loser,2000-10-21,16,76.0
5075,3 Doors Down,Loser,2000-10-21,17,75.0
5392,3 Doors Down,Loser,2000-10-21,18,67.0
5709,3 Doors Down,Loser,2000-10-21,19,73.0
6026,3 Doors Down,Loser,2000-10-21,20,70.0
4,504 Boyz,Wobble Wobble,2000-04-15,1,57.0
321,504 Boyz,Wobble Wobble,2000-04-15,2,34.0
638,504 Boyz,Wobble Wobble,2000-04-15,3,25.0
955,504 Boyz,Wobble Wobble,2000-04-15,4,17.0
1272,504 Boyz,Wobble Wobble,2000-04-15,5,17.0
1589,504 Boyz,Wobble Wobble,2000-04-15,6,31.0
1906,504 Boyz,Wobble Wobble,2000-04-15,7,36.0
2223,504 Boyz,Wobble Wobble,2000-04-15,8,49.0
2540,504 Boyz,Wobble Wobble,2000-04-15,9,53.0
2857,504 Boyz,Wobble Wobble,2000-04-15,10,57.0
3174,504 Boyz,Wobble Wobble,2000-04-15,11,64.0
3491,504 Boyz,Wobble Wobble,2000-04-15,12,70.0
3808,504 Boyz,Wobble Wobble,2000-04-15,13,75.0
4125,504 Boyz,Wobble Wobble,2000-04-15,14,76.0
4442,504 Boyz,Wobble Wobble,2000-04-15,15,78.0
4759,504 Boyz,Wobble Wobble,2000-04-15,16,85.0
5076,504 Boyz,Wobble Wobble,2000-04-15,17,92.0
5393,504 Boyz,Wobble Wobble,2000-04-15,18,96.0
5,98^0,Give Me Just One Nig...,2000-08-19,1,51.0
322,98^0,Give Me Just One Nig...,2000-08-19,2,39.0
639,98^0,Give Me Just One Nig...,2000-08-19,3,34.0
956,98^0,Give Me Just One Nig...,2000-08-19,4,26.0
1273,98^0,Give Me Just One Nig...,2000-08-19,5,26.0
1590,98^0,Give Me Just One Nig...,2000-08-19,6,19.0
1907,98^0,Give Me Just One Nig...,2000-08-19,7,2.0
2224,98^0,Give Me Just One Nig...,2000-08-19,8,2.0
2541,98^0,Give Me Just One Nig...,2000-08-19,9,3.0
2858,98^0,Give Me Just One Nig...,2000-08-19,10,6.0
3175,98^0,Give Me Just One Nig...,2000-08-19,11,7.0
3492,98^0,Give Me Just One Nig...,2000-08-19,12,22.0
3809,98^0,Give Me Just One Nig...,2000-08-19,13,29.0
4126,98^0,Give Me Just One Nig...,2000-08-19,14,36.0
4443,98^0,Give Me Just One Nig...,2000-08-19,15,47.0
4760,98^0,Give Me Just One Nig...,2000-08-19,16,67.0
5077,98^0,Give Me Just One Nig...,2000-08-19,17,66.0
5394,98^0,Give Me Just One Nig...,2000-08-19,18,84.0
5711,98^0,Give Me Just One Nig...,2000-08-19,19,93.0
6028,98^0,Give Me Just One Nig...,2000-08-19,20,94.0
6,A*Teens,Dancing Queen,2000-07-08,1,97.0
323,A*Teens,Dancing Queen,2000-07-08,2,97.0
640,A*Teens,Dancing Queen,2000-07-08,3,96.0
957,A*Teens,Dancing Queen,2000-07-08,4,95.0
1274,A*Teens,Dancing Queen,2000-07-08,5,100.0
7,Aaliyah,I Don't Wanna,2000-01-29,1,84.0
324,Aaliyah,I Don't Wanna,2000-01-29,2,62.0
641,Aaliyah,I Don't Wanna,2000-01-29,3,51.0
958,Aaliyah,I Don't Wanna,2000-01-29,4,41.0
1275,Aaliyah,I Don't Wanna,2000-01-29,5,38.0
1592,Aaliyah,I Don't Wanna,2000-01-29,6,35.0
1909,Aaliyah,I Don't Wanna,2000-01-29,7,35.0
2226,Aaliyah,I Don't Wanna,2000-01-29,8,38.0
2543,Aaliyah,I Don't Wanna,2000-01-29,9,38.0
2860,Aaliyah,I Don't Wanna,2000-01-29,10,36.0
3177,Aaliyah,I Don't Wanna,2000-01-29,11,37.0
3494,Aaliyah,I Don't Wanna,2000-01-29,12,37.0
3811,Aaliyah,I Don't Wanna,2000-01-29,13,38.0
4128,Aaliyah,I Don't Wanna,2000-01-29,14,49.0
4445,Aaliyah,I Don't Wanna,2000-01-29,15,61.0
4762,Aaliyah,I Don't Wanna,2000-01-29,16,63.0
5079,Aaliyah,I Don't Wanna,2000-01-29,17,62.0
5396,Aaliyah,I Don't Wanna,2000-01-29,18,67.0
5713,Aaliyah,I Don't Wanna,2000-01-29,19,83.0
6030,Aaliyah,I Don't Wanna,2000-01-29,20,86.0
8,Aaliyah,Try Again,2000-03-18,1,59.0
325,Aaliyah,Try Again,2000-03-18,2,53.0
642,Aaliyah,Try Again,2000-03-18,3,38.0
959,Aaliyah,Try Again,2000-03-18,4,28.0
1276,Aaliyah,Try Again,2000-03-18,5,21.0
1593,Aaliyah,Try Again,2000-03-18,6,18.0
1910,Aaliyah,Try Again,2000-03-18,7,16.0
2227,Aaliyah,Try Again,2000-03-18,8,14.0
2544,Aaliyah,Try Again,2000-03-18,9,12.0
2861,Aaliyah,Try Again,2000-03-18,10,10.0
3178,Aaliyah,Try Again,2000-03-18,11,9.0
3495,Aaliyah,Try Again,2000-03-18,12,8.0
3812,Aaliyah,Try Again,2000-03-18,13,6.0
4129,Aaliyah,Try Again,2000-03-18,14,1.0
4446,Aaliyah,Try Again,2000-03-18,15,2.0
4763,Aaliyah,Try Again,2000-03-18,16,2.0
5080,Aaliyah,Try Again,2000-03-18,17,2.0
5397,Aaliyah,Try Again,2000-03-18,18,2.0
5714,Aaliyah,Try Again,2000-03-18,19,3.0
6031,Aaliyah,Try Again,2000-03-18,20,4.0
6348,Aaliyah,Try Again,2000-03-18,21,5.0
6665,Aaliyah,Try Again,2000-03-18,22,5.0
6982,Aaliyah,Try Again,2000-03-18,23,6.0
7299,Aaliyah,Try Again,2000-03-18,24,9.0
7616,Aaliyah,Try Again,2000-03-18,25,13.0
7933,Aaliyah,Try Again,2000-03-18,26,14.0
8250,Aaliyah,Try Again,2000-03-18,27,16.0
8567,Aaliyah,Try Again,2000-03-18,28,23.0
8884,Aaliyah,Try Again,2000-03-18,29,22.0
9201,Aaliyah,Try Again,2000-03-18,30,33.0
9518,Aaliyah,Try Again,2000-03-18,31,36.0
9835,Aaliyah,Try Again,2000-03-18,32,43.0
9,"Adams, Yolanda",Open My Heart,2000-08-26,1,76.0
326,"Adams, Yolanda",Open My Heart,2000-08-26,2,76.0
643,"Adams, Yolanda",Open My Heart,2000-08-26,3,74.0
960,"Adams, Yolanda",Open My Heart,2000-08-26,4,69.0
1277,"Adams, Yolanda",Open My Heart,2000-08-26,5,68.0
1594,"Adams, Yolanda",Open My Heart,2000-08-26,6,67.0
1911,"Adams, Yolanda",Open My Heart,2000-08-26,7,61.0
2228,"Adams, Yolanda",Open My Heart,2000-08-26,8,58.0
2545,"Adams, Yolanda",Open My Heart,2000-08-26,9,57.0
2862,"Adams, Yolanda",Open My Heart,2000-08-26,10,59.0
3179,"Adams, Yolanda",Open My Heart,2000-08-26,11,66.0
3496,"Adams, Yolanda",Open My Heart,2000-08-26,12,68.0
3813,"Adams, Yolanda",Open My Heart,2000-08-26,13,61.0
4130,"Adams, Yolanda",Open My Heart,2000-08-26,14,67.0
4447,"Adams, Yolanda",Open My Heart,2000-08-26,15,59.0
4764,"Adams, Yolanda",Open My Heart,2000-08-26,16,63.0
5081,"Adams, Yolanda",Open My Heart,2000-08-26,17,67.0
5398,"Adams, Yolanda",Open My Heart,2000-08-26,18,71.0
5715,"Adams, Yolanda",Open My Heart,2000-08-26,19,79.0
6032,"Adams, Yolanda",Open My Heart,2000-08-26,20,89.0
10,"Adkins, Trace",More,2000-04-29,1,84.0
327,"Adkins, Trace",More,2000-04-29,2,84.0
644,"Adkins, Trace",More,2000-04-29,3,75.0
961,"Adkins, Trace",More,2000-04-29,4,73.0
1278,"Adkins, Trace",More,2000-04-29,5,73.0
1595,"Adkins, Trace",More,2000-04-29,6,69.0
1912,"Adkins, Trace",More,2000-04-29,7,68.0
2229,"Adkins, Trace",More,2000-04-29,8,65.0
2546,"Adkins, Trace",More,2000-04-29,9,73.0
2863,"Adkins, Trace",More,2000-04-29,10,83.0
3180,"Adkins, Trace",More,2000-04-29,11,92.0
11,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,1,57.0
328,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,2,47.0
645,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,3,45.0
962,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,4,29.0
1279,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,5,23.0
1596,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,6,18.0
1913,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,7,11.0
2230,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,8,9.0
2547,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,9,9.0
2864,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,10,11.0
3181,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,11,1.0
3498,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,12,1.0
3815,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,13,1.0
4132,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,14,1.0
4449,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,15,4.0
4766,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,16,8.0
5083,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,17,12.0
5400,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,18,22.0
5717,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,19,23.0
6034,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,20,43.0
6351,"Aguilera, Christina",Come On Over Baby (A...,2000-08-05,21,44.0
12,"Aguilera, Christina",I Turn To You,2000-04-15,1,50.0
329,"Aguilera, Christina",I Turn To You,2000-04-15,2,39.0
646,"Aguilera, Christina",I Turn To You,2000-04-15,3,30.0
963,"Aguilera, Christina",I Turn To You,2000-04-15,4,28.0
1280,"Aguilera, Christina",I Turn To You,2000-04-15,5,21.0
1597,"Aguilera, Christina",I Turn To You,2000-04-15,6,19.0
1914,"Aguilera, Christina",I Turn To You,2000-04-15,7,20.0
2231,"Aguilera, Christina",I Turn To You,2000-04-15,8,17.0
2548,"Aguilera, Christina",I Turn To You,2000-04-15,9,17.0
2865,"Aguilera, Christina",I Turn To You,2000-04-15,10,17.0
3182,"Aguilera, Christina",I Turn To You,2000-04-15,11,17.0
3499,"Aguilera, Christina",I Turn To You,2000-04-15,12,3.0
3816,"Aguilera, Christina",I Turn To You,2000-04-15,13,3.0
4133,"Aguilera, Christina",I Turn To You,2000-04-15,14,7.0
4450,"Aguilera, Christina",I Turn To You,2000-04-15,15,10.0
4767,"Aguilera, Christina",I Turn To You,2000-04-15,16,17.0
5084,"Aguilera, Christina",I Turn To You,2000-04-15,17,25.0
5401,"Aguilera, Christina",I Turn To You,2000-04-15,18,29.0
5718,"Aguilera, Christina",I Turn To You,2000-04-15,19,29.0
6035,"Aguilera, Christina",I Turn To You,2000-04-15,20,40.0
6352,"Aguilera, Christina",I Turn To You,2000-04-15,21,43.0
6669,"Aguilera, Christina",I Turn To You,2000-04-15,22,50.0
13,"Aguilera, Christina",What A Girl Wants,1999-11-27,1,71.0
330,"Aguilera, Christina",What A Girl Wants,1999-11-27,2,51.0
647,"Aguilera, Christina",What A Girl Wants,1999-11-27,3,28.0
964,"Aguilera, Christina",What A Girl Wants,1999-11-27,4,18.0
1281,"Aguilera, Christina",What A Girl Wants,1999-11-27,5,13.0
1598,"Aguilera, Christina",What A Girl Wants,1999-11-27,6,13.0
1915,"Aguilera, Christina",What A Girl Wants,1999-11-27,7,11.0
2232,"Aguilera, Christina",What A Girl Wants,1999-11-27,8,1.0
2549,"Aguilera, Christina",What A Girl Wants,1999-11-27,9,1.0
2866,"Aguilera, Christina",What A Girl Wants,1999-11-27,10,2.0
3183,"Aguilera, Christina",What A Girl Wants,1999-11-27,11,2.0
3500,"Aguilera, Christina",What A Girl Wants,1999-11-27,12,3.0
3817,"Aguilera, Christina",What A Girl Wants,1999-11-27,13,3.0
4134,"Aguilera, Christina",What A Girl Wants,1999-11-27,14,4.0
4451,"Aguilera, Christina",What A Girl Wants,1999-11-27,15,12.0
4768,"Aguilera, Christina",What A Girl Wants,1999-11-27,16,11.0
5085,"Aguilera, Christina",What A Girl Wants,1999-11-27,17,13.0
5402,"Aguilera, Christina",What A Girl Wants,1999-11-27,18,15.0
5719,"Aguilera, Christina",What A Girl Wants,1999-11-27,19,18.0
6036,"Aguilera, Christina",What A Girl Wants,1999-11-27,20,20.0
6353,"Aguilera, Christina",What A Girl Wants,1999-11-27,21,30.0
6670,"Aguilera, Christina",What A Girl Wants,1999-11-27,22,40.0
6987,"Aguilera, Christina",What A Girl Wants,1999-11-27,23,39.0
7304,"Aguilera, Christina",What A Girl Wants,1999-11-27,24,44.0
14,Alice Deejay,Better Off Alone,2000-04-08,1,79.0
331,Alice Deejay,Better Off Alone,2000-04-08,2,65.0
648,Alice Deejay,Better Off Alone,2000-04-08,3,53.0
965,Alice Deejay,Better Off Alone,2000-04-08,4,48.0
1282,Alice Deejay,Better Off Alone,2000-04-08,5,45.0
1599,Alice Deejay,Better Off Alone,2000-04-08,6,36.0
1916,Alice Deejay,Better Off Alone,2000-04-08,7,34.0
2233,Alice Deejay,Better Off Alone,2000-04-08,8,29.0
2550,Alice Deejay,Better Off Alone,2000-04-08,9,27.0
2867,Alice Deejay,Better Off Alone,2000-04-08,10,30.0
3184,Alice Deejay,Better Off Alone,2000-04-08,11,36.0
3501,Alice Deejay,Better Off Alone,2000-04-08,12,37.0
3818,Alice Deejay,Better Off Alone,2000-04-08,13,39.0
4135,Alice Deejay,Better Off Alone,2000-04-08,14,49.0
4452,Alice Deejay,Better Off Alone,2000-04-08,15,57.0
4769,Alice Deejay,Better Off Alone,2000-04-08,16,63.0
5086,Alice Deejay,Better Off Alone,2000-04-08,17,65.0
5403,Alice Deejay,Better Off Alone,2000-04-08,18,68.0
5720,Alice Deejay,Better Off Alone,2000-04-08,19,79.0
6037,Alice Deejay,Better Off Alone,2000-04-08,20,86.0
15,"Allan, Gary",Smoke Rings In The D...,2000-01-22,1,80.0
332,"Allan, Gary",Smoke Rings In The D...,2000-01-22,2,78.0
649,"Allan, Gary",Smoke Rings In The D...,2000-01-22,3,76.0
966,"Allan, Gary",Smoke Rings In The D...,2000-01-22,4,77.0
1283,"Allan, Gary",Smoke Rings In The D...,2000-01-22,5,92.0
16,Amber,Sexual,1999-07-17,1,99.0
333,Amber,Sexual,1999-07-17,2,99.0
650,Amber,Sexual,1999-07-17,3,96.0
967,Amber,Sexual,1999-07-17,4,96.0
1284,Amber,Sexual,1999-07-17,5,100.0
1601,Amber,Sexual,1999-07-17,6,93.0
1918,Amber,Sexual,1999-07-17,7,93.0
2235,Amber,Sexual,1999-07-17,8,96.0
3186,Amber,Sexual,1999-07-17,11,99.0
3820,Amber,Sexual,1999-07-17,13,96.0
4137,Amber,Sexual,1999-07-17,14,96.0
4454,Amber,Sexual,1999-07-17,15,99.0
4771,Amber,Sexual,1999-07-17,16,98.0
5088,Amber,Sexual,1999-07-17,17,98.0
5722,Amber,Sexual,1999-07-17,19,95.0
6039,Amber,Sexual,1999-07-17,20,88.0
6356,Amber,Sexual,1999-07-17,21,88.0
6673,Amber,Sexual,1999-07-17,22,79.0
6990,Amber,Sexual,1999-07-17,23,76.0
7307,Amber,Sexual,1999-07-17,24,69.0
7624,Amber,Sexual,1999-07-17,25,69.0
7941,Amber,Sexual,1999-07-17,26,59.0
8258,Amber,Sexual,1999-07-17,27,58.0
8575,Amber,Sexual,1999-07-17,28,58.0
8892,Amber,Sexual,1999-07-17,29,49.0
9209,Amber,Sexual,1999-07-17,30,44.0
9526,Amber,Sexual,1999-07-17,31,42.0
9843,Amber,Sexual,1999-07-17,32,46.0
10160,Amber,Sexual,1999-07-17,33,50.0
17,Anastacia,I'm Outta Love,2000-04-01,1,92.0
968,Anastacia,I'm Outta Love,2000-04-01,4,95.0
3504,Anastacia,I'm Outta Love,2000-04-01,12,97.0
18,"Anthony, Marc",My Baby You,2000-09-16,1,82.0
335,"Anthony, Marc",My Baby You,2000-09-16,2,76.0
652,"Anthony, Marc",My Baby You,2000-09-16,3,76.0
969,"Anthony, Marc",My Baby You,2000-09-16,4,70.0
1286,"Anthony, Marc",My Baby You,2000-09-16,5,82.0
1603,"Anthony, Marc",My Baby You,2000-09-16,6,81.0
1920,"Anthony, Marc",My Baby You,2000-09-16,7,74.0
2237,"Anthony, Marc",My Baby You,2000-09-16,8,80.0
2554,"Anthony, Marc",My Baby You,2000-09-16,9,76.0
2871,"Anthony, Marc",My Baby You,2000-09-16,10,76.0
3188,"Anthony, Marc",My Baby You,2000-09-16,11,73.0
3505,"Anthony, Marc",My Baby You,2000-09-16,12,74.0
3822,"Anthony, Marc",My Baby You,2000-09-16,13,87.0
4139,"Anthony, Marc",My Baby You,2000-09-16,14,83.0
4456,"Anthony, Marc",My Baby You,2000-09-16,15,89.0
4773,"Anthony, Marc",My Baby You,2000-09-16,16,93.0
5090,"Anthony, Marc",My Baby You,2000-09-16,17,94.0
5407,"Anthony, Marc",My Baby You,2000-09-16,18,94.0
5724,"Anthony, Marc",My Baby You,2000-09-16,19,91.0
6041,"Anthony, Marc",My Baby You,2000-09-16,20,90.0
19,"Anthony, Marc",You Sang To Me,2000-02-26,1,77.0
336,"Anthony, Marc",You Sang To Me,2000-02-26,2,54.0
653,"Anthony, Marc",You Sang To Me,2000-02-26,3,50.0
970,"Anthony, Marc",You Sang To Me,2000-02-26,4,43.0
1287,"Anthony, Marc",You Sang To Me,2000-02-26,5,30.0
1604,"Anthony, Marc",You Sang To Me,2000-02-26,6,27.0
1921,"Anthony, Marc",You Sang To Me,2000-02-26,7,21.0
2238,"Anthony, Marc",You Sang To Me,2000-02-26,8,18.0
2555,"Anthony, Marc",You Sang To Me,2000-02-26,9,15.0
2872,"Anthony, Marc",You Sang To Me,2000-02-26,10,13.0
3189,"Anthony, Marc",You Sang To Me,2000-02-26,11,13.0
3506,"Anthony, Marc",You Sang To Me,2000-02-26,12,13.0
3823,"Anthony, Marc",You Sang To Me,2000-02-26,13,13.0
4140,"Anthony, Marc",You Sang To Me,2000-02-26,14,5.0
4457,"Anthony, Marc",You Sang To Me,2000-02-26,15,2.0
4774,"Anthony, Marc",You Sang To Me,2000-02-26,16,2.0
5091,"Anthony, Marc",You Sang To Me,2000-02-26,17,5.0
5408,"Anthony, Marc",You Sang To Me,2000-02-26,18,7.0
5725,"Anthony, Marc",You Sang To Me,2000-02-26,19,9.0
6042,"Anthony, Marc",You Sang To Me,2000-02-26,20,12.0
6359,"Anthony, Marc",You Sang To Me,2000-02-26,21,12.0
6676,"Anthony, Marc",You Sang To Me,2000-02-26,22,16.0
6993,"Anthony, Marc",You Sang To Me,2000-02-26,23,20.0
7310,"Anthony, Marc",You Sang To Me,2000-02-26,24,20.0
7627,"Anthony, Marc",You Sang To Me,2000-02-26,25,22.0
7944,"Anthony, Marc",You Sang To Me,2000-02-26,26,25.0
8261,"Anthony, Marc",You Sang To Me,2000-02-26,27,26.0
8578,"Anthony, Marc",You Sang To Me,2000-02-26,28,29.0
8895,"Anthony, Marc",You Sang To Me,2000-02-26,29,35.0
9212,"Anthony, Marc",You Sang To Me,2000-02-26,30,33.0
9529,"Anthony, Marc",You Sang To Me,2000-02-26,31,40.0
9846,"Anthony, Marc",You Sang To Me,2000-02-26,32,44.0
20,Avant,My First Love,2000-11-04,1,70.0
337,Avant,My First Love,2000-11-04,2,62.0
654,Avant,My First Love,2000-11-04,3,56.0
971,Avant,My First Love,2000-11-04,4,43.0
1288,Avant,My First Love,2000-11-04,5,39.0
1605,Avant,My First Love,2000-11-04,6,33.0
1922,Avant,My First Love,2000-11-04,7,26.0
2239,Avant,My First Love,2000-11-04,8,26.0
2556,Avant,My First Love,2000-11-04,9,26.0
2873,Avant,My First Love,2000-11-04,10,31.0
3190,Avant,My First Love,2000-11-04,11,32.0
3507,Avant,My First Love,2000-11-04,12,31.0
3824,Avant,My First Love,2000-11-04,13,38.0
4141,Avant,My First Love,2000-11-04,14,38.0
4458,Avant,My First Love,2000-11-04,15,52.0
4775,Avant,My First Love,2000-11-04,16,57.0
5092,Avant,My First Love,2000-11-04,17,64.0
5409,Avant,My First Love,2000-11-04,18,73.0
5726,Avant,My First Love,2000-11-04,19,81.0
6043,Avant,My First Love,2000-11-04,20,79.0
21,Avant,Separated,2000-04-29,1,62.0
338,Avant,Separated,2000-04-29,2,32.0
655,Avant,Separated,2000-04-29,3,30.0
972,Avant,Separated,2000-04-29,4,23.0
1289,Avant,Separated,2000-04-29,5,26.0
1606,Avant,Separated,2000-04-29,6,30.0
1923,Avant,Separated,2000-04-29,7,35.0
2240,Avant,Separated,2000-04-29,8,32.0
2557,Avant,Separated,2000-04-29,9,32.0
2874,Avant,Separated,2000-04-29,10,25.0
3191,Avant,Separated,2000-04-29,11,23.0
3508,Avant,Separated,2000-04-29,12,28.0
3825,Avant,Separated,2000-04-29,13,27.0
4142,Avant,Separated,2000-04-29,14,29.0
4459,Avant,Separated,2000-04-29,15,27.0
4776,Avant,Separated,2000-04-29,16,31.0
5093,Avant,Separated,2000-04-29,17,31.0
5410,Avant,Separated,2000-04-29,18,33.0
5727,Avant,Separated,2000-04-29,19,40.0
6044,Avant,Separated,2000-04-29,20,51.0
22,BBMak,Back Here,2000-04-29,1,99.0
339,BBMak,Back Here,2000-04-29,2,86.0
656,BBMak,Back Here,2000-04-29,3,60.0
973,BBMak,Back Here,2000-04-29,4,52.0
1290,BBMak,Back Here,2000-04-29,5,38.0
1607,BBMak,Back Here,2000-04-29,6,34.0
1924,BBMak,Back Here,2000-04-29,7,28.0
2241,BBMak,Back Here,2000-04-29,8,21.0
2558,BBMak,Back Here,2000-04-29,9,18.0
2875,BBMak,Back Here,2000-04-29,10,18.0
3192,BBMak,Back Here,2000-04-29,11,19.0
3509,BBMak,Back Here,2000-04-29,12,15.0
3826,BBMak,Back Here,2000-04-29,13,18.0
4143,BBMak,Back Here,2000-04-29,14,13.0
4460,BBMak,Back Here,2000-04-29,15,16.0
4777,BBMak,Back Here,2000-04-29,16,15.0
5094,BBMak,Back Here,2000-04-29,17,16.0
5411,BBMak,Back Here,2000-04-29,18,16.0
5728,BBMak,Back Here,2000-04-29,19,17.0
6045,BBMak,Back Here,2000-04-29,20,15.0
6362,BBMak,Back Here,2000-04-29,21,18.0
6679,BBMak,Back Here,2000-04-29,22,17.0
6996,BBMak,Back Here,2000-04-29,23,16.0
7313,BBMak,Back Here,2000-04-29,24,22.0
7630,BBMak,Back Here,2000-04-29,25,24.0
7947,BBMak,Back Here,2000-04-29,26,30.0
8264,BBMak,Back Here,2000-04-29,27,36.0
8581,BBMak,Back Here,2000-04-29,28,37.0
8898,BBMak,Back Here,2000-04-29,29,42.0
9215,BBMak,Back Here,2000-04-29,30,45.0
9532,BBMak,Back Here,2000-04-29,31,49.0
